iso3,country,year,gdp_const,labor_force,gcf_const,inflation_cpi,fdi_gdp,gov_consumption_const,broad_money_gdp,education_years_adults,kof_overall,kof_overall_de_facto,kof_overall_de_jure,kof_economic,kof_economic_de_facto,kof_economic_de_jure,kof_trade,kof_trade_de_facto,kof_trade_de_jure,kof_financial,kof_financial_de_facto,kof_financial_de_jure,kof_social,kof_social_de_facto,kof_social_de_jure,kof_interpersonal,kof_interpersonal_de_facto,kof_interpersonal_de_jure,kof_informational,kof_informational_de_facto,kof_informational_de_jure,kof_cultural,kof_cultural_de_facto,kof_cultural_de_jure,kof_political,kof_political_de_facto,kof_political_de_jure,gdp_per_worker,gcf_per_worker,ln_gdp_per_worker,ln_gcf_per_worker,d_ln_gdp_per_worker,gdp_per_worker_growth_pct,crisis_financial_2008_2009,crisis_debt_2010_2012,crisis_covid_2020_2021,crisis_energy_war_2022_2023
BGR,Bulgaria,2005,40066672175.59027,3314525.0,10456358722.33124,5.0388380711191,13.72047900599112,7754222180.966251,53.72422966554395,10.344,71.20092010498047,70.07264709472656,72.32917022705078,65.18636322021484,71.05127716064453,59.32145690917969,70.53898620605469,76.49136352539062,64.58660888671875,59.8337516784668,65.61119842529297,54.056304931640625,64.54803466796875,59.267181396484375,69.82887268066406,57.94084548950195,52.19628143310547,63.68540573120117,62.51216506958008,54.71476745605469,70.30956268310547,73.1910629272461,70.8904800415039,75.49165344238281,83.86831665039062,79.89945983886719,87.83717346191406,12088.209374070273,3154.708056910489,9.399985824622416,8.056651237226472,0.0875319977040192,8.75319977040192,0,0,0,0
BGR,Bulgaria,2006,42792243384.37644,3421452.0,12625888158.19533,7.26159462769946,22.90387835112305,8190574391.299442,59.80663192636323,10.42,74.03113555908203,72.8887939453125,75.17347717285156,71.01001739501953,75.93860626220703,66.08143615722656,72.85660552978516,79.33053588867188,66.38268280029297,69.1634292602539,72.54667663574219,65.78018188476562,66.01570892333984,61.501705169677734,70.52972412109375,59.060611724853516,52.82931137084961,65.29191589355469,65.56646728515625,58.8271484375,72.3057861328125,73.42005157470703,72.8486328125,73.99147033691406,85.06768798828125,81.2260971069336,88.90926361083984,12507.041859531111,3690.2134410172434,9.434047113431538,8.21343957845583,0.03406128880912185,3.406128880912185,0,0,0,0
BGR,Bulgaria,2007,45639805260.65182,3500732.0,14368359031.06767,8.40253419005893,31.22862451690242,8107153066.002072,66.29251030420153,10.54,77.00430297851562,74.2977066040039,79.71088409423828,77.07530212402344,78.16796875,75.9826431274414,81.9124755859375,80.50749969482422,83.31743621826172,72.23814392089844,75.82843780517578,68.6478500366211,68.11166381835938,63.42823028564453,72.79509735107422,62.3344612121582,55.68625259399414,68.98267364501953,66.7411117553711,59.211734771728516,74.27049255371094,75.25941467285156,75.38670349121094,75.13212585449219,85.82588195800781,81.296875,90.35488891601562,13037.217719223241,4104.38703421675,9.475563447624832,8.319811688987048,0.041516334193294924,4.151633419329492,0,0,0,0
BGR,Bulgaria,2008,48437323784.95722,3562863.0,16756559947.60467,12.348719599402,18.89976381006649,8260903492.417794,62.8989652003611,10.59,77.52423095703125,74.2449951171875,80.80348205566406,75.44701385498047,76.12646484375,74.76758575439453,81.18618774414062,80.72229766845703,81.65008544921875,69.70785522460938,71.5306167602539,67.88507080078125,69.9931411743164,64.14285278320312,75.84342193603516,65.45281219482422,57.61915588378906,73.28646087646484,67.85368347167969,60.14789581298828,75.55947875976562,76.67292785644531,74.6614990234375,78.68433380126953,87.13257598876953,82.46571350097656,91.79943084716797,13595.056499494149,4703.116551942825,9.517461512960411,8.455980664105079,0.041898065335578494,4.189806533557849,1,0,0,0
BGR,Bulgaria,2009,46816058020.33208,3489069.0,12706332612.66215,2.75320223914819,7.490157326134797,7776471433.394787,65.22376943396802,10.64,76.03758239746094,71.27700805664062,80.79816436767578,72.6709976196289,71.23676300048828,74.10521697998047,76.65143585205078,71.82354736328125,81.47932434082031,68.69053649902344,70.64996337890625,66.73111724853516,70.80445861816406,64.33889770507812,77.27002716064453,65.9749984741211,57.99150466918945,73.95848083496094,69.4059829711914,61.94514846801758,76.8668212890625,77.03240966796875,73.08004760742188,80.98477172851562,84.63729858398438,78.25537872314453,91.01921844482422,13417.922666571534,3641.754465922614,9.50434660469674,8.200220840640549,-0.013114908263670344,-1.3114908263670344,1,0,0,0
BGR,Bulgaria,2010,47544216166.30841,3424396.0,10434013970.92405,2.43899060504117,3.635696367832544,7941819357.947311,67.7561581324032,10.72,75.84419250488281,71.32515716552734,80.36321258544922,72.67109680175781,70.30179595947266,75.04039764404297,78.45792388916016,73.26435089111328,83.6515121459961,66.88426208496094,67.33924102783203,66.42928314208984,71.1067886352539,64.9842300415039,77.22933197021484,67.59800720214844,60.38904571533203,74.80696105957031,68.97459411621094,61.23761749267578,76.71156311035156,76.74776458740234,73.3260498046875,80.16947937011719,83.75467681884766,78.68943786621094,88.8199234008789,13883.971411690824,3046.9647701153867,9.5384903178965,8.021901216764416,0.03414371319975906,3.4143713199759063,0,1,0,0
BGR,Bulgaria,2011,48537973523.45023,3339707.0,10092426039.09951,4.21990346601872,3.64730034700454,8127398442.390773,70.1645074084222,10.78,76.01216125488281,71.91169738769531,80.11261749267578,72.34691619873047,70.4765625,74.2172622680664,78.57465362548828,74.52247619628906,82.62682342529297,66.11917114257812,66.43063354492188,65.80770111083984,71.90074920654297,66.50424194335938,77.29725646972656,68.70082092285156,61.577369689941406,75.82426452636719,69.63583374023438,63.01411819458008,76.25756072998047,77.36559295654297,74.9212417602539,79.80995178222656,83.78880310058594,78.75428009033203,88.82332611083984,14533.602355970219,3021.9495420105745,9.584218651229591,8.013657445807313,0.04572833333309134,4.572833333309134,0,1,0,0
BGR,Bulgaria,2012,48901433349.83176,3358087.0,10403816853.04476,2.95456829831012,3.293199048682119,7978061371.67077,74.68488372638942,10.9,76.5558853149414,72.43529510498047,80.6764907836914,72.94912719726562,72.02779388427734,73.87047576904297,79.53564453125,77.26625061035156,81.80504608154297,66.36261749267578,66.78933715820312,65.93589782714844,71.80902099609375,66.08594512939453,77.5320816040039,69.62430572509766,62.073951721191406,77.17465209960938,69.87261199951172,62.902610778808594,76.84260559082031,75.93013763427734,73.28128814697266,78.5789794921875,84.90953063964844,79.192138671875,90.6269302368164,14562.288990675868,3098.1379735083574,9.586190520292407,8.03855655630155,0.0019718690628156565,0.19718690628156565,0,1,0,0
BGR,Bulgaria,2013,48636020141.15254,3333973.0,9849947991.380548,0.890093540913096,3.563357728808442,8030145201.600911,81.74372268981438,11.01,77.34637451171875,73.63964080810547,81.05309295654297,74.6744613647461,74.73604583740234,74.61286163330078,80.28326416015625,78.21568298339844,82.35084533691406,69.06564331054688,71.25640869140625,66.87488555908203,72.23506164550781,66.9126968383789,77.55743408203125,70.31315612792969,63.90056228637695,76.72575378417969,70.76598358154297,64.52946472167969,77.00250244140625,75.62606048583984,72.30809783935547,78.94403076171875,85.12957000732422,79.27014923095703,90.98897552490234,14588.006603878479,2954.417444706525,9.587955004620989,7.99105676817382,0.0017644843285822276,0.17644843285822276,0,0,0,0
BGR,Bulgaria,2014,49097794392.25595,3290417.0,10526724472.20254,-1.41818380264839,1.915877390237983,8023278069.722744,80.81769281646811,11.05,77.70714569091797,73.45744323730469,81.95684051513672,76.27094268798828,74.4846420288086,78.05723571777344,83.34949493408203,80.54505920410156,86.1539306640625,69.19239044189453,68.42424011230469,69.96054077148438,72.23444366455078,66.91372680664062,77.55514526367188,69.57388305664062,64.12126159667969,75.0265121459961,71.84213256835938,66.09400939941406,77.59025573730469,75.28730010986328,70.52592468261719,80.04866790771484,84.61603546142578,78.97393798828125,90.25814056396484,14921.450500728617,3199.2068094112506,9.61055508757983,8.070658186003477,0.022600082958840417,2.2600082958840417,0,0,0,0
